"statistikkvariabel"	"konsumgruppe"	"1979"	"1980"	"1981"	"1982"	"1983"	"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Årsendring (prosent)"	"01.1.1 Brød og kornprodukter"	..	6.5	19.0	29.1	13.2	9.5	9.3	5.6	10.0	8.8	3.9	2.4	3.2	1.9	0.0	1.3	0.9	0.7	0.9	3.3	2.5	1.2	-3.3	-1.6	4.0	1.9	0.9	0.8	3.4	7.1	5.8	2.1	1.2	1.9	1.8	2.3	0.4	2.8	-0.5	1.6	1.5	2.7	0.2	7.4
"Årsendring (prosent)"	"01.1.2 Kjøtt"	..	7.5	20.0	10.1	6.8	3.2	7.7	9.8	8.6	5.3	2.7	1.4	-0.3	-0.7	-3.6	-3.0	-2.9	0.0	2.7	3.4	2.7	0.7	-1.6	-1.8	2.8	1.9	1.7	-1.3	2.8	3.6	-0.3	-2.1	-4.6	0.6	-0.5	1.9	2.2	2.5	-2.3	0.8	1.4	2.3	3.0	9.9
"Årsendring (prosent)"	"01.1.3 Fisk og sjømat"	..	10.1	28.0	13.1	7.5	4.4	6.2	10.2	14.5	8.3	2.7	2.3	1.9	0.0	-0.8	-0.8	0.2	0.6	2.2	3.8	6.8	4.9	1.3	-0.7	1.6	0.4	2.0	0.0	1.5	4.0	4.0	0.0	3.7	1.7	0.6	5.3	4.6	7.4	9.1	1.8	1.8	2.6	0.6	8.7
"Årsendring (prosent)"	"01.1.4 Melk, ost og egg"	..	11.1	20.9	17.3	9.6	9.4	8.3	7.7	6.7	7.7	2.8	12.8	3.4	4.5	0.5	1.1	-1.4	2.2	4.7	3.9	1.3	1.0	-3.9	-1.5	4.3	2.1	2.5	3.9	4.7	7.6	7.7	2.4	0.9	0.9	0.2	3.2	-0.5	1.3	0.6	3.1	0.8	2.5	-0.6	5.0
"Årsendring (prosent)"	"01.1.5 Oljer og fett"	..	2.9	35.0	4.6	10.4	19.2	4.3	-0.9	3.5	7.1	4.0	2.3	7.0	5.4	5.8	5.9	2.6	1.5	3.8	9.5	3.2	1.8	-1.7	0.2	7.1	4.4	1.2	4.4	4.2	11.4	6.2	1.6	3.4	2.6	3.6	5.2	-5.6	8.3	0.1	5.4	5.0	5.6	-0.2	12.2
"Årsendring (prosent)"	"01.1.6 Frukt"	..	9.7	12.5	6.5	8.7	3.8	6.3	4.5	12.4	1.4	-0.5	1.6	1.8	0.3	-1.9	2.6	6.7	6.8	7.1	6.8	3.7	1.3	3.5	-5.1	0.5	2.3	-0.2	4.1	-1.6	-1.3	5.3	-2.5	0.7	1.5	3.1	4.8	8.7	-1.3	-0.7	5.9	3.6	8.1	-5.7	5.3
"Årsendring (prosent)"	"01.1.7 Grønnsaker"	..	6.2	12.0	14.6	4.2	7.3	-2.3	17.3	11.5	6.3	-1.5	-1.9	0.6	1.5	-1.9	10.2	6.6	6.0	2.3	9.2	4.4	4.4	-4.2	0.7	7.0	-1.3	2.7	5.1	2.5	0.3	3.5	0.1	-2.5	-1.1	2.9	3.6	5.2	0.8	-0.9	2.9	3.5	5.5	-1.7	6.0
"Årsendring (prosent)"	"01.1.8 Sukker, syltetøy, honning, sjokolade og sukkervarer"	..	19.6	12.4	16.4	4.9	6.6	3.4	9.1	8.7	6.7	6.8	4.7	2.7	4.1	1.2	1.7	6.5	2.5	2.6	4.6	4.5	2.8	-0.2	-1.0	3.3	2.7	1.8	-1.1	1.0	2.5	2.4	-1.9	-4.6	-0.8	1.5	2.0	4.9	2.1	-0.8	4.1	-2.6	3.1	-7.0	3.5
"Årsendring (prosent)"	"01.1.9 Andre matvarer"	..	2.9	11.5	11.3	9.3	7.0	5.8	5.5	6.7	6.6	3.8	3.8	3.5	0.7	1.2	0.8	0.7	0.0	2.9	4.2	3.7	1.9	-3.0	-5.0	1.3	3.6	-0.4	0.1	2.2	5.4	5.2	1.0	0.5	0.7	2.4	2.4	-0.7	5.2	-0.7	0.4	0.7	3.7	0.1	5.9
"Årsendring (prosent)"	"01.2.1 Kaffe, te og kakao"	..	6.4	-10.5	12.4	8.2	15.5	8.1	22.3	-22.4	-2.9	3.6	-12.9	-1.8	-3.6	-4.9	23.5	22.3	-7.8	12.9	5.2	-7.3	-0.6	-5.5	-8.0	-3.1	0.7	7.1	-1.5	3.8	1.7	0.8	5.1	17.2	-0.6	-5.1	3.6	5.7	-0.2	1.6	0.0	-1.3	0.0	-0.9	16.6
"Årsendring (prosent)"	"01.2.2 Mineralvann, leskedrikker, frukt- og grønnsaksjuice"	..	5.1	14.9	12.6	4.7	5.2	6.5	5.5	5.8	9.1	3.6	4.8	2.4	3.8	-0.2	1.0	2.2	0.0	1.8	7.6	4.2	4.0	-0.5	0.5	4.2	2.4	0.2	3.8	4.8	4.0	8.3	2.9	5.2	5.0	2.7	4.0	5.6	4.8	1.1	4.2	1.6	0.9	-11.2	0.6
"Årsendring (prosent)"	"02.1.1 Brennevin"	..	1.9	25.5	11.6	10.2	0.7	0.5	8.9	10.1	8.0	7.0	7.1	8.4	6.3	-0.4	-5.4	3.6	2.6	6.4	7.1	-0.6	2.6	2.4	-10.5	-5.1	4.2	1.6	1.8	2.2	3.6	3.6	1.6	4.7	2.3	3.5	2.8	1.0	2.3	1.6	1.4	1.6	2.4	1.8	1.7
"Årsendring (prosent)"	"02.1.2 Vin"	..	5.2	31.7	14.6	10.4	1.3	3.2	6.4	9.2	6.4	6.8	5.4	3.1	5.7	7.3	-2.8	3.4	0.2	4.7	7.0	3.5	3.4	2.6	-1.9	1.3	3.2	1.9	1.1	1.4	2.5	3.5	1.2	2.9	1.3	1.5	2.2	2.4	3.3	1.5	2.0	2.1	4.5	-0.4	2.6
"Årsendring (prosent)"	"02.1.3 Øl"	..	3.4	25.5	15.6	12.7	11.0	6.0	7.9	9.2	7.4	4.5	6.0	6.7	7.0	3.4	2.6	1.8	0.8	2.8	4.9	2.4	4.7	2.0	0.0	1.0	-7.1	2.2	1.6	-0.6	4.6	7.6	2.4	6.9	3.9	7.2	2.3	1.3	1.3	-1.4	1.6	2.5	2.1	-1.9	2.7
"Årsendring (prosent)"	"02.2.0 Tobakk"	..	3.1	28.4	23.3	12.3	5.9	4.8	10.6	12.3	6.1	4.6	7.7	8.7	13.6	4.1	11.5	7.1	4.7	11.1	13.7	4.3	10.8	5.0	2.9	3.2	19.1	3.3	2.7	2.5	4.2	4.8	7.2	8.1	3.8	4.7	4.6	4.7	5.0	4.6	2.8	3.4	2.2	-3.7	6.0
"Årsendring (prosent)"	"03.1.1 Materialer til klær"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"03.1.2 Klesplagg"	..	9.0	11.0	9.4	6.3	6.3	7.8	10.6	9.0	5.6	2.8	2.4	1.6	1.6	2.4	0.8	-0.4	-3.8	0.0	-2.7	-0.9	-5.9	-0.4	-6.4	-12.3	-7.5	-5.2	-4.1	-6.3	-5.5	-3.9	-5.1	-3.2	-1.6	-3.0	-1.3	-0.1	5.2	-0.5	-3.2	1.7	-1.9	-1.4	-0.1
"Årsendring (prosent)"	"03.1.3 Andre klesplagg og tilbehør til klær"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"03.1.4 Rensing, reparasjon og leie av klær"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"03.2.1 Sko og annet skotøy"	..	12.8	11.9	3.4	1.3	3.1	4.5	2.9	6.7	7.8	3.7	2.4	3.6	3.9	4.4	5.2	5.6	-2.5	-1.4	0.9	0.4	3.3	-3.3	-1.9	-4.3	-5.6	-2.9	-1.9	-0.3	2.2	-0.7	0.1	-3.8	-0.3	0.8	1.1	2.0	3.1	-2.3	-5.1	-1.4	-1.2	-0.9	3.8
"Årsendring (prosent)"	"03.2.2 Reparasjon og leie av skotøy"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"04.1.1 Betalt husleie, bolig"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	..	3.9	4.5	4.0	1.9	2.3	2.5	1.9	3.5	3.4	3.0	2.2	2.1	3.6	3.3	2.8	1.9	2.0	1.7	1.7	1.4	1.3	2.0
"Årsendring (prosent)"	"04.1.2 Betalt husleie, fritidsbolig"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"04.2.1 Beregnet husleie, bolig"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	..	4.4	4.9	4.0	1.9	2.1	2.3	1.6	2.8	3.2	2.9	1.9	1.8	3.0	2.8	2.4	1.8	1.7	1.5	1.6	1.5	1.2	1.9
"Årsendring (prosent)"	"04.2.2 Beregnet husleie, fritidsbolig"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"04.3.1 Materialer til vedlikehold og reparasjon av bolig"	..	12.4	11.0	6.5	7.5	7.0	7.5	9.9	11.3	8.8	4.4	5.0	4.2	1.1	2.8	5.3	6.3	1.6	1.8	1.1	4.2	1.4	3.3	2.3	2.2	4.1	3.7	1.5	6.6	3.8	-0.1	2.7	2.1	2.1	0.7	3.2	1.9	2.6	1.9	4.1	5.8	4.6	22.3	18.9
"Årsendring (prosent)"	"04.3.2 Tjenester knyttet til vedlikehold og reparasjon av bolig"	..	4.5	12.8	7.0	11.6	5.4	7.3	7.6	16.7	12.4	2.0	2.2	4.1	1.6	2.1	2.0	4.0	2.6	5.6	6.8	7.4	6.7	4.5	4.5	4.4	2.8	3.1	3.1	5.2	5.5	3.6	3.5	5.4	3.4	3.5	3.5	3.4	1.4	2.3	4.1	1.4	2.7	2.4	2.9
"Årsendring (prosent)"	"04.4.0 Vannforsyning og diverse tjenester knyttet til bolig"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"04.5.1 Elektrisitet inkludert nettleie"	..	12.1	17.4	18.9	17.2	12.1	10.8	8.3	7.6	9.4	3.7	6.7	1.7	-1.2	3.1	-1.0	6.9	4.4	3.7	-7.6	-1.9	5.4	27.9	-1.6	36.7	-8.7	-2.5	28.0	-21.5	27.0	-3.4	21.3	-4.4	-19.1	16.1	-6.9	-3.7	22.2	9.3	25.6	0.7	-29.4	70.8	19.0
"Årsendring (prosent)"	"04.5.3 Flytende brensel"	..	53.8	26.7	11.8	4.7	2.6	0.7	-25.4	0.5	1.4	8.6	20.6	19.6	-5.8	2.6	2.2	0.9	10.1	6.6	-4.7	9.0	35.5	5.2	-6.1	-0.2	15.0	9.6	6.5	0.4	27.2	-19.9	13.8	18.4	4.1	-2.5	11.6	-10.7	-4.6	12.6	13.0	2.4	.	.	.
"Årsendring (prosent)"	"04.5.4 Fast brensel"	..	15.9	11.1	6.6	4.8	1.3	0.9	0.2	13.8	3.4	-1.1	0.4	0.4	7.8	4.5	3.9	-1.1	9.2	-8.7	-5.5	1.3	20.3	4.5	2.0	3.8	-3.7	-3.2	7.0	3.3	5.0	9.0	1.5	3.4	-2.2	-2.7	2.5	2.0	4.0	-4.2	2.6	5.4	1.8	-0.6	19.3
"Årsendring (prosent)"	"04.5.5 Varmeenergi"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"05.1.1 Møbler og innrednings- og dekorasjonsartikler"	..	14.8	17.3	10.1	8.3	5.3	5.8	8.8	9.9	6.8	2.8	2.0	2.6	1.0	1.8	1.5	0.4	0.7	-0.5	-0.6	-0.1	-0.9	0.2	0.6	-0.7	0.0	-1.4	-1.5	4.1	3.1	2.9	-2.0	-2.4	0.4	1.7	8.2	9.5	6.3	-3.1	1.3	2.2	6.6	3.7	11.5
"Årsendring (prosent)"	"05.1.2 Tepper og annet gulvbelegg"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"05.2.0 Boligtekstiler"	..	12.8	13.0	9.9	5.8	2.1	2.7	4.4	7.0	1.1	0.2	-1.7	0.4	-1.0	2.9	2.4	2.9	-0.4	-0.2	-0.8	0.5	-1.1	-0.9	-1.4	-2.8	-5.8	-5.1	-4.0	1.1	4.1	4.2	-0.1	4.4	2.4	0.5	1.6	4.4	5.7	0.3	4.0	2.0	11.0	4.3	3.6
"Årsendring (prosent)"	"05.3.1 Større elektriske og ikke-elektriske husholdningsapparater"	..	9.6	10.8	7.5	7.6	3.9	0.9	7.5	7.5	1.7	1.5	0.9	1.7	0.8	2.2	-0.5	0.5	-0.1	0.4	-0.3	1.8	0.1	-0.9	-1.8	-2.6	-1.1	0.1	-0.8	-2.4	-1.5	4.3	-0.6	-2.7	-1.3	-2.5	1.0	1.8	4.7	-0.6	1.4	2.5	8.8	1.7	2.3
"Årsendring (prosent)"	"05.3.2 Små elektriske husholdningsapparater"	..	5.5	6.6	4.5	4.1	2.8	2.3	8.0	9.2	-1.9	-1.9	-3.3	6.2	2.8	6.1	-2.0	-4.1	-3.1	2.4	5.2	0.2	-0.1	-3.8	-3.2	-1.7	0.9	0.9	0.5	-0.2	3.0	8.4	0.8	-0.9	-5.7	-0.3	-0.7	3.8	2.8	2.1	2.0	3.6	6.2	2.0	-0.3
"Årsendring (prosent)"	"05.3.3 Reparasjon av husholdningsapparater"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
