"statistikkvariabel"	"statistikkmål"	"yrke"	"sektor"	"næring (SN2007)"	"kjønn"	"2015 I alt"	"2015 Heltidsansatte"	"2015 Deltidsansatte"	"2016 I alt"	"2016 Heltidsansatte"	"2016 Deltidsansatte"	"2017 I alt"	"2017 Heltidsansatte"	"2017 Deltidsansatte"	"2018 I alt"	"2018 Heltidsansatte"	"2018 Deltidsansatte"	"2019 I alt"	"2019 Heltidsansatte"	"2019 Deltidsansatte"	"2020 I alt"	"2020 Heltidsansatte"	"2020 Deltidsansatte"	"2021 I alt"	"2021 Heltidsansatte"	"2021 Deltidsansatte"	"2022 I alt"	"2022 Heltidsansatte"	"2022 Deltidsansatte"
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"03.2 Akvakultur"	"Begge kjønn"	43570	45070	34320	45790	46260	40280	47760	48460	38770	48920	49690	39080	50020	50740	40400	51940	52630	42140	54240	54990	43000	57370	58160	45280
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"03.2 Akvakultur"	"Menn"	43960	45210	34290	46320	46660	41120	48540	49060	39530	49730	50380	39060	50950	51570	40460	52860	53410	42640	55120	55750	43120	58400	59030	45890
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"03.2 Akvakultur"	"Kvinner"	41380	44070	34380	42950	43820	38670	43860	45100	37530	44990	46000	39120	45530	46370	40290	47770	48760	41260	50270	51290	42780	53090	54250	44250
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"05_07_08_09.9 Bergverksdrift"	"Begge kjønn"	41800	42230	38680	43000	43200	40610	44040	44170	42260	45620	45740	43980	47020	47400	41510	48290	48610	43400	50000	50340	44960	53240	53610	47190
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"05_07_08_09.9 Bergverksdrift"	"Menn"	41920	42260	39050	43130	43190	42160	44220	44210	44380	45780	45770	46080	47120	47380	42030	48380	48560	44500	50020	50240	45850	53240	53460	48580
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"05_07_08_09.9 Bergverksdrift"	"Kvinner"	40780	41910	37250	41910	43370	37310	42480	43760	38240	44270	45470	39690	46210	47580	40360	47550	49020	41100	49810	51300	42770	53260	54960	43730
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"06+09.1 Utvinning av råolje og naturgass inkl. tjenesteyting"	"Begge kjønn"	70070	70440	63030	71280	71760	60440	71700	72110	62290	74760	75210	63760	76490	76900	63580	76280	76640	65360	78320	78730	64370	84250	84660	68340
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"06+09.1 Utvinning av råolje og naturgass inkl. tjenesteyting"	"Menn"	70980	71300	64110	72020	72460	60280	72260	72610	62450	75030	75430	63420	76640	77010	62420	76520	76830	65510	78410	78790	63870	84040	84430	66650
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"06+09.1 Utvinning av råolje og naturgass inkl. tjenesteyting"	"Kvinner"	66370	66830	60240	68350	68890	60790	69450	69990	61970	73690	74310	64480	75870	76460	65750	75330	75840	65000	77940	78490	65560	85100	85600	72180
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Sum alle sektorer"	"10-12 Nærings-, drikkevare- og tobakksindustri"	"Begge kjønn"	38890	41310	32670	40050	40960	33980	41100	41890	35100	42240	43050	35830	43780	44650	36370	44330	45220	36750	46300	47280	38470	48220	49330	39490
